location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
Cul-de-sac at 73rd Ave and Herbert Guice Way,intersection,"Cul-de-sac at 73rd Avenue and Herbert Guice Way, Oakland, CA",,,,
Church St between Foohill Blvd and Bancroft Ave,intersection,"Church Street between Foohill Boulevard and Bancroft Avenue, Oakland, CA",,,,
Hilton St between 55th Ave and Bancroft Ave,intersection,"Hilton Street between 55th Avenue and Bancroft Avenue, Oakland, CA",,,,
Bancroft between Hilton St and Trask St,intersection,"Bancroft between Hilton Street and Trask Street, Oakland, CA",,,,
Prune St between Pippin St and Pearmain St,intersection,"Prune Street between Pippin Street and Pearmain Street, Oakland, CA",,,,
San Leandro St between 98th Ave and Prune St,intersection,"San Leandro Street between 98th Avenue and Prune Street, Oakland, CA",,,,
San Leandro St between 100th Ave and Stone St,intersection,"San Leandro Street between 100th Avenue and Stone Street, Oakland, CA",,,,
Pippin St between 98th Ave and Prune St,intersection,"Pippin Street between 98th Avenue and Prune Street, Oakland, CA",,,,
Foothill Blvd between Frazier Ave and Talbot Ave,intersection,"Foothill Boulevard between Frazier Avenue and Talbot Avenue, Oakland, CA",,,,
Foothill Blvd between MacArthur and Frazier Ave,intersection,"Foothill Boulevard between MacArthur and Frazier Avenue, Oakland, CA",,,,
Foothill Blvd between Talbot Ave and 106th Ave,intersection,"Foothill Boulevard between Talbot Avenue and 106th Avenue, Oakland, CA",,,,
Foothill between 106th Ave and 108th Ave,intersection,"Foothill between 106th Avenue and 108th Avenue, Oakland, CA",,,,
Foothill Blvd between 108th Ave and Durant Ave,intersection,"Foothill Boulevard between 108th Avenue and Durant Avenue, Oakland, CA",,,,
Talbot Ave between MacArthur Blvd and Fisher Ave,intersection,"Talbot Avenue between MacArthur Boulevard and Fisher Avenue, Oakland, CA",,,,
Talbot Ave between Fisher Ave and Foothill Blvd,intersection,"Talbot Avenue between Fisher Avenue and Foothill Boulevard, Oakland, CA",,,,
Frazier Ave between Fisher Ave and Foothill Blvd,intersection,"Frazier Avenue between Fisher Avenue and Foothill Boulevard, Oakland, CA",,,,
Fisher Ave between MacArthur Blvd and Frazier Ave,intersection,"Fisher Avenue between MacArthur Boulevard and Frazier Avenue, Oakland, CA",,,,
Fisher Ave between Frazier Ave and Talbot Ave,intersection,"Fisher Avenue between Frazier Avenue and Talbot Avenue, Oakland, CA",,,,
MacArthur Blvd between Foothill Blvd & Fisher Ave,intersection,"MacArthur Boulevard between Foothill Boulevard & Fisher Avenue, Oakland, CA",,,,
MacArthur Blvd between Fisher Ave & Talbot Ave,intersection,"MacArthur Boulevard between Fisher Avenue & Talbot Avenue, Oakland, CA",,,,
MacArthur Blvd between Talbot Ave and 106th Ave,intersection,"MacArthur Boulevard between Talbot Avenue and 106th Avenue, Oakland, CA",,,,
85th Ave between Railroad Ave and Edes Ave,intersection,"85th Avenue between Railroad Avenue and Edes Avenue, Oakland, CA",,,,
5th Ave between Embarcadero & E 8th St,intersection,"5th Avenue between Embarcadero & E 8th Street, Oakland, CA",,,,
Bay Trail (b/t Alameda Ave and High St),intersection,"Bay Trail (b, Oakland, CA",,,,
Bancroft Blvd between 67th Ave and 68th Ave,intersection,"Bancroft Boulevard between 67th Avenue and 68th Avenue, Oakland, CA",,,,
Foothill Blvd between 67th Avenue and 68th Avenue,intersection,"Foothill Boulevard between 67th Avenue and 68th Avenue, Oakland, CA",,,,
68th Ave between Foothill Blvd and Bancroft Ave,intersection,"68th Avenue between Foothill Boulevard and Bancroft Avenue, Oakland, CA",,,,
3rd St between Chester St and Henry St,intersection,"3rd Street between Chester Street and Henry Street, Oakland, CA",,,,
Wood St between 32nd St and 34th St,intersection,"Wood Street between 32nd Street and 34th Street, Oakland, CA",,,,
3rd St between Henry St & Lewis St,intersection,"3rd Street between Henry Street & Lewis Street, Oakland, CA",,,,
Peralta St between 3rd St & 5th St,intersection,"Peralta Street between 3rd Street & 5th Street, Oakland, CA",,,,
Pippin St between Prune St and 100th Ave,intersection,"Pippin Street between Prune Street and 100th Avenue, Oakland, CA",,,,
Pippin St between 100th Ave and Stone St,intersection,"Pippin Street between 100th Avenue and Stone Street, Oakland, CA",,,,
Nevada St between Railroad Ave and Walter Ave,intersection,"Nevada Street between Railroad Avenue and Walter Avenue, Oakland, CA",,,,
Walter Ave between Nevada St and 98th Ave,intersection,"Walter Avenue between Nevada Street and 98th Avenue, Oakland, CA",,,,
Walter Ave between Tyler St and Nevada St,intersection,"Walter Avenue between Tyler Street and Nevada Street, Oakland, CA",,,,
Railroad Ave between 85th Ave and Louisana St,intersection,"Railroad Avenue between 85th Avenue and Louisana Street, Oakland, CA",,,,
Railroad Ave between Louisana St and Clara St,intersection,"Railroad Avenue between Louisana Street and Clara Street, Oakland, CA",,,,
Railroad Ave between Clara St and S Elmurst Ave,intersection,"Railroad Avenue between Clara Street and South Elmurst Avenue, Oakland, CA",,,,
Railroad Ave between S Elmurst Ave and Tyler St,intersection,"Railroad Avenue between South Elmurst Avenue and Tyler Street, Oakland, CA",,,,
Railroad Ave between Tyler St and Nevada St,intersection,"Railroad Avenue between Tyler Street and Nevada Street, Oakland, CA",,,,
Railroad Ave between Nevada St and 98th Ave,intersection,"Railroad Avenue between Nevada Street and 98th Avenue, Oakland, CA",,,,
Pine St between 8th St and Goss St,intersection,"Pine Street between 8th Street and Goss Street, Oakland, CA",,,,
Oak St between Fallon St and 2nd St,intersection,"Oak Street between Fallon Street and 2nd Street, Oakland, CA",,,,
Oak St between 3rd St and 4th St,intersection,"Oak Street between 3rd Street and 4th Street, Oakland, CA",,,,
Oak St between 2nd St and 3rd St,intersection,"Oak Street between 2nd Street and 3rd Street, Oakland, CA",,,,
Fallon St between Victory Ct and Fallon St,intersection,"Fallon Street between Victory Court and Fallon Street, Oakland, CA",,,,
Fallon St between 4th St and Victory Ct,intersection,"Fallon Street between 4th Street and Victory Court, Oakland, CA",,,,
Fallon St between Oak St and Fallon St,intersection,"Fallon Street between Oak Street and Fallon Street, Oakland, CA",,,,
Peralta St between 5th St and 7th St,intersection,"Peralta Street between 5th Street and 7th Street, Oakland, CA",,,,
3rd St between Lewis St & Peralta St,intersection,"3rd Street between Lewis Street & Peralta Street, Oakland, CA",,,,
22nd St between Brush St & West St,intersection,"22nd Street between Brush Street & West Street, Oakland, CA",,,,
3rd St between Washington St & Broadway,intersection,"3rd Street between Washington Street & Broadway, Oakland, CA",,,,
Brush St between 22nd St and W Grand Ave,intersection,"Brush Street between 22nd Street and West Grand Avenue, Oakland, CA",,,,
San Pablo Ave between 62nd St and 63rd St,intersection,"San Pablo Avenue between 62nd Street and 63rd Street, Oakland, CA",,,,
San Pablo Ave between 61st St and 62nd St,intersection,"San Pablo Avenue between 61st Street and 62nd Street, Oakland, CA",,,,
46th St between Dover and Shuttuck Ave,intersection,"46th Street between Dover and Shuttuck Avenue, Oakland, CA",,,,
14th St between Union St & Magnolia St,intersection,"14th Street between Union Street & Magnolia Street, Oakland, CA",,,,
47th St between Dover and Shuttuck Ave,intersection,"47th Street between Dover and Shuttuck Avenue, Oakland, CA",,,,
14th St between Poplar St and Union St,intersection,"14th Street between Poplar Street and Union Street, Oakland, CA",,,,
E 12th St between 22nd Ave and 23rd Ave,intersection,"E 12th Street between 22nd Avenue and 23rd Avenue, Oakland, CA",,,,
8th Ave between E 11th St & E 12th St,intersection,"8th Avenue between E 11th Street & E 12th Street, Oakland, CA",,,,
8th Ave between E 10th St & E 11th St,intersection,"8th Avenue between E 10th Street & E 11th Street, Oakland, CA",,,,
8th Ave between E 8th St & E 10th St,intersection,"8th Avenue between E 8th Street & E 10th Street, Oakland, CA",,,,
E 11th St between 10th Ave and 11th Ave,intersection,"E 11th Street between 10th Avenue and 11th Avenue, Oakland, CA",,,,
E 11th St between 9th Ave and 10th Ave,intersection,"E 11th Street between 9th Avenue and 10th Avenue, Oakland, CA",,,,
Brush St between 21st St and 22nd St,intersection,"Brush Street between 21st Street and 22nd Street, Oakland, CA",,,,
E 11th St between 8th Ave and 9th Ave,intersection,"E 11th Street between 8th Avenue and 9th Avenue, Oakland, CA",,,,
E 10th St between 8th Ave and 9th Ave,intersection,"E 10th Street between 8th Avenue and 9th Avenue, Oakland, CA",,,,
E 10th St between 9th Ave and E 8th St,intersection,"E 10th Street between 9th Avenue and E 8th Street, Oakland, CA",,,,
14th St between Mandela Pkwy and Poplar St,intersection,"14th Street between Mandela Parkway and Poplar Street, Oakland, CA",,,,
14th St between Magnolia St & Adeline St,intersection,"14th Street between Magnolia Street & Adeline Street, Oakland, CA",,,,
14th St between Mandela Pkwy and Kirkham Ct,intersection,"14th Street between Mandela Parkway and Kirkham Court, Oakland, CA",,,,
Mead Avenue between Market Street and San Pablo Avenue,intersection,"Mead Avenue between Market Street and San Pablo Avenue, Oakland, CA",,,,
San Pablo St between 27th St and Mead Ave,intersection,"San Pablo Street between 27th Street and Mead Avenue, Oakland, CA",,,,
Webster St between 36th St and 37th St,intersection,"Webster Street between 36th Street and 37th Street, Oakland, CA",,,,
85th Ave between International Blvd & A St,intersection,"85th Avenue between International Boulevard & A Street, Oakland, CA",,,,
Webster St between 36th St and 34th St,intersection,"Webster Street between 36th Street and 34th Street, Oakland, CA",,,,
86th Ave between International Blvd & A St,intersection,"86th Avenue between International Boulevard & A Street, Oakland, CA",,,,
36th St between Telegraph St and Webster St,intersection,"36th Street between Telegraph Street and Webster Street, Oakland, CA",,,,
E 12th St between 29th Ave & 30th Ave,intersection,"E 12th Street between 29th Avenue & 30th Avenue, Oakland, CA",,,,
International Blvd between 83rd Ave and 84th Ave,intersection,"International Boulevard between 83rd Avenue and 84th Avenue, Oakland, CA",,,,
International Blvd between 82nd ave and 83rd ave,intersection,"International Boulevard between 82nd ave and 83rd ave, Oakland, CA",,,,
Mandela Pkwy between 15th St and 16th St,intersection,"Mandela Parkway between 15th Street and 16th Street, Oakland, CA",,,,
A St between 85th Ave and 86th Ave,intersection,"A Street between 85th Avenue and 86th Avenue, Oakland, CA",,,,
International Blvd between 85th Ave and 86th Ave,intersection,"International Boulevard between 85th Avenue and 86th Avenue, Oakland, CA",,,,
MLK between W MacArthur Blvd and 37th St,intersection,"Martin Luther King Jr Boulevard between West MacArthur Boulevard and 37th Street, Oakland, CA",,,,
37th St between MLK and West St,intersection,"37th Street between Martin Luther King Jr Boulevard and West Street, Oakland, CA",,,,
Mandela Pkwy between 14th St and 15th St,intersection,"Mandela Parkway between 14th Street and 15th Street, Oakland, CA",,,,
Cul de sac at 37th St and MLK,intersection,"Cul de sac at 37th Street and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Mandela Pkwy between 13th and 14th,intersection,"Mandela Parkway between 13th and 14th, Oakland, CA",,,,
Market Street between 27th Street and Mead Avenue,intersection,"Market Street between 27th Street and Mead Avenue, Oakland, CA",,,,
Mandela Pkwy between 12th St and 13th St,intersection,"Mandela Parkway between 12th Street and 13th Street, Oakland, CA",,,,
27th St between Market St and San Pablo ave,intersection,"27th Street between Market Street and San Pablo ave, Oakland, CA",,,,
9th Ave between E 10th St & E 11th St,intersection,"9th Avenue between E 10th Street & E 11th Street, Oakland, CA",,,,
15th Ave between E 12th St and Solano Way,intersection,"15th Avenue between E 12th Street and Solano Way, Oakland, CA",,,,
11th Ave between E 11th St and E 12th St,intersection,"11th Avenue between E 11th Street and E 12th Street, Oakland, CA",,,,
11th Ave between E 8th St and E 11th St,intersection,"11th Avenue between E 8th Street and E 11th Street, Oakland, CA",,,,
10th Ave between E 11th St and E 12th St,intersection,"10th Avenue between E 11th Street and E 12th Street, Oakland, CA",,,,
10th Ave between E 8th St and E 11th St,intersection,"10th Avenue between E 8th Street and E 11th Street, Oakland, CA",,,,
9th Ave between E 11th St & E 12th St,intersection,"9th Avenue between E 11th Street & E 12th Street, Oakland, CA",,,,
6th St between Franklin St and Webster St,intersection,"6th Street between Franklin Street and Webster Street, Oakland, CA",,,,
Mandela Pkwy between 18th St and 20th St,intersection,"Mandela Parkway between 18th Street and 20th Street, Oakland, CA",,,,
Mandela Pkwy between 17th St and 18th St,intersection,"Mandela Parkway between 17th Street and 18th Street, Oakland, CA",,,,
Mandela Pkwy between 16th St and 17th St,intersection,"Mandela Parkway between 16th Street and 17th Street, Oakland, CA",,,,
9th Ave between E 8th St & E 10th St,intersection,"9th Avenue between E 8th Street & E 10th Street, Oakland, CA",,,,
29th St. between MLK and Telegraph,intersection,"29th Street. between Martin Luther King Jr Boulevard and Telegraph, Oakland, CA",,,,
E 11th St between 11th Ave and E 8th St,intersection,"E 11th Street between 11th Avenue and E 8th Street, Oakland, CA",,,,
12th Ave between E 8th St and E 12th St,intersection,"12th Avenue between E 8th Street and E 12th Street, Oakland, CA",,,,
E 12th St between 25th Ave & 26th Ave,intersection,"E 12th Street between 25th Avenue & 26th Avenue, Oakland, CA",,,,
E 12th St between 26th Ave & 29th Ave,intersection,"E 12th Street between 26th Avenue & 29th Avenue, Oakland, CA",,,,
21st Ave between E 12th St and International Blvd,intersection,"21st Avenue between E 12th Street and International Boulevard, Oakland, CA",,,,
E 12th St between Derby Ave & Fruitvale Ave,intersection,"E 12th Street between Derby Avenue & Fruitvale Avenue, Oakland, CA",,,,
Mandela Pkwy between 20th St and W Grand Ave,intersection,"Mandela Parkway between 20th Street and West Grand Avenue, Oakland, CA",,,,
15th Ave between Solano Way and International Blvd,intersection,"15th Avenue between Solano Way and International Boulevard, Oakland, CA",,,,
12th Ave between E. 8th St and E. 12th St,intersection,"12th Avenue between East 8th Street and East 12th Street, Oakland, CA",,,,
E 8th St between 8th Ave and 9th Ave,intersection,"E 8th Street between 8th Avenue and 9th Avenue, Oakland, CA",,,,
16th Ave between Solano Way and International Blvd,intersection,"16th Avenue between Solano Way and International Boulevard, Oakland, CA",,,,
16th Ave between E 12th St and Solano Way,intersection,"16th Avenue between E 12th Street and Solano Way, Oakland, CA",,,,
18th Ave between Solano Way and International Blvd,intersection,"18th Avenue between Solano Way and International Boulevard, Oakland, CA",,,,
18th Ave between E 12th St and Solano Way,intersection,"18th Avenue between E 12th Street and Solano Way, Oakland, CA",,,,
Solano Way between 19th Ave and 20th Ave,intersection,"Solano Way between 19th Avenue and 20th Avenue, Oakland, CA",,,,
Solano Way between 18th Ave and 19th Ave,intersection,"Solano Way between 18th Avenue and 19th Avenue, Oakland, CA",,,,
Solano Way between 17th Ave and 18th Ave,intersection,"Solano Way between 17th Avenue and 18th Avenue, Oakland, CA",,,,
Solano Way between 16th Ave and 17th Ave,intersection,"Solano Way between 16th Avenue and 17th Avenue, Oakland, CA",,,,
W Grand between Adeline St & Union St,intersection,"West Grand between Adeline Street & Union Street, Oakland, CA",,,,
Solano Way between 15th Ave and 16th Ave,intersection,"Solano Way between 15th Avenue and 16th Avenue, Oakland, CA",,,,
W Grand between Union St & Poplar St,intersection,"West Grand between Union Street & Poplar Street, Oakland, CA",,,,
Solano Way between 14th Ave and 15th Ave,intersection,"Solano Way between 14th Avenue and 15th Avenue, Oakland, CA",,,,
E 8th St between 12th Ave and E 12th St,intersection,"E 8th Street between 12th Avenue and E 12th Street, Oakland, CA",,,,
W Grand Ave between Kirkham St & Poplar St,intersection,"West Grand Avenue between Kirkham Street & Poplar Street, Oakland, CA",,,,
E 8th St between 11th Ave and 12th Ave,intersection,"E 8th Street between 11th Avenue and 12th Avenue, Oakland, CA",,,,
E 8th St between 10th Ave and 11th Ave,intersection,"E 8th Street between 10th Avenue and 11th Avenue, Oakland, CA",,,,
E 8th St between 9th Ave and 10th Ave,intersection,"E 8th Street between 9th Avenue and 10th Avenue, Oakland, CA",,,,
W Grand Ave between Mandela Pkwy & Kirkham St,intersection,"West Grand Avenue between Mandela Parkway & Kirkham Street, Oakland, CA",,,,
Webster St between 37th St and W MacArthur Blvd,intersection,"Webster Street between 37th Street and West MacArthur Boulevard, Oakland, CA",,,,
International Blvd between 84th Ave and 85th Ave,intersection,"International Boulevard between 84th Avenue and 85th Avenue, Oakland, CA",,,,
W Grand Ave between Brush St & San Pablo Ave,intersection,"West Grand Avenue between Brush Street & San Pablo Avenue, Oakland, CA",,,,
Castro St between 16th St & 17th St,intersection,"Castro Street between 16th Street & 17th Street, Oakland, CA",,,,
5th St between Clay St and Washingston St,intersection,"5th Street between Clay Street and Washingston Street, Oakland, CA",,,,
Castro St between 15th St & 16th St,intersection,"Castro Street between 15th Street & 16th Street, Oakland, CA",,,,
16th St between Castro St and MLK,intersection,"16th Street between Castro Street and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Northgate between Sycamore St & 27th St,intersection,"Northgate between Sycamore Street & 27th Street, Oakland, CA",,,,
San Leandro St between 54th Ave & Seminary Ave,intersection,"San Leandro Street between 54th Avenue & Seminary Avenue, Oakland, CA",,,,
Castro St between 11th St & 12th St,intersection,"Castro Street between 11th Street & 12th Street, Oakland, CA",,,,
50th Ave between E 12th St & San Leandro St,intersection,"50th Avenue between E 12th Street & San Leandro Street, Oakland, CA",,,,
49th Ave between International Blvd and San Leandro St,intersection,"49th Avenue between International Boulevard and San Leandro Street, Oakland, CA",,,,
Bernhardt Dr between Saint Elmo Dr and Foster Ave,intersection,"Bernhardt Drive between Saint Elmo Drive and Foster Avenue, Oakland, CA",,,,
50th Ave between International Blvd & E 12th St,intersection,"50th Avenue between International Boulevard & E 12th Street, Oakland, CA",,,,
48th Street between International Boulevard and San Leandro Street,intersection,"48th Street between International Boulevard and San Leandro Street, Oakland, CA",,,,
E. 12th St between 49th Ave and 50th Ave,intersection,"East 12th Street between 49th Avenue and 50th Avenue, Oakland, CA",,,,
Brush St between 23rd St & W Grand Ave,intersection,"Brush Street between 23rd Street & West Grand Avenue, Oakland, CA",,,,
E. 12th St between 48th Ave and 49th Ave,intersection,"East 12th Street between 48th Avenue and 49th Avenue, Oakland, CA",,,,
Bernhardt Dr between Islenton Ave and Kerwin Ave,intersection,"Bernhardt Drive between Islenton Avenue and Kerwin Avenue, Oakland, CA",,,,
Bernhardt Dr between Hunter Ave and Isleton Ave,intersection,"Bernhardt Drive between Hunter Avenue and Isleton Avenue, Oakland, CA",,,,
Hawley St between 72nd Ave and 73rd Ave,intersection,"Hawley Street between 72nd Avenue and 73rd Avenue, Oakland, CA",,,,
73rd Ave between Hawley St and Spencer St,intersection,"73rd Avenue between Hawley Street and Spencer Street, Oakland, CA",,,,
Hawley St between 71st Ave and 72nd Ave,intersection,"Hawley Street between 71st Avenue and 72nd Avenue, Oakland, CA",,,,
Miller Ave between International Blvd & E 15th St,intersection,"Miller Avenue between International Boulevard & E 15th Street, Oakland, CA",,,,
E 15th St between 23rd Ave & Miller Ave,intersection,"E 15th Street between 23rd Avenue & Miller Avenue, Oakland, CA",,,,
42nd between MLK & Telegraph,intersection,"42nd between Martin Luther King Jr Boulevard & Telegraph, Oakland, CA",,,,
21st St between Chestnut St & Adeline St,intersection,"21st Street between Chestnut Street & Adeline Street, Oakland, CA",,,,
35th St between Adeline St and Chestnut St,intersection,"35th Street between Adeline Street and Chestnut Street, Oakland, CA",,,,
Adeline St between 19th St & 21st St,intersection,"Adeline Street between 19th Street & 21st Street, Oakland, CA",,,,
35th St between Chestnut St and San Pablo Ave,intersection,"35th Street between Chestnut Street and San Pablo Avenue, Oakland, CA",,,,
34th St between Adeline St and Chestnut St,intersection,"34th Street between Adeline Street and Chestnut Street, Oakland, CA",,,,
5th St between Washingston St & Broadway,intersection,"5th Street between Washingston Street & Broadway, Oakland, CA",,,,
E. 12th St between 47th Ave and 48th Ave,intersection,"East 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",,,,
34th St between Chestnut St and San Pablo Ave,intersection,"34th Street between Chestnut Street and San Pablo Avenue, Oakland, CA",,,,
Magnolia St between 35th St and 36th St,intersection,"Magnolia Street between 35th Street and 36th Street, Oakland, CA",,,,
Peralta St between Harlan St and 35th St,intersection,"Peralta Street between Harlan Street and 35th Street, Oakland, CA",,,,
Peralta St between 35th St and 36th St,intersection,"Peralta Street between 35th Street and 36th Street, Oakland, CA",,,,
Miller Ave between E 15th St & E 16th St,intersection,"Miller Avenue between E 15th Street & E 16th Street, Oakland, CA",,,,
E 15th St between 23rd Ave and Miller Ave,intersection,"E 15th Street between 23rd Avenue and Miller Avenue, Oakland, CA",,,,
E 15th St between Miller Ave and 24th Ave,intersection,"E 15th Street between Miller Avenue and 24th Avenue, Oakland, CA",,,,
23rd Ave between E 15th St and  E 16th St,intersection,"23rd Avenue between E 15th Street and E 16th Street, Oakland, CA",,,,
23rd Ave between International Blvd & E 15th St,intersection,"23rd Avenue between International Boulevard & E 15th Street, Oakland, CA",,,,
Chestnut St between 35th St and 34th St,intersection,"Chestnut Street between 35th Street and 34th Street, Oakland, CA",,,,
E. 12th St between 46th Ave and 47th Ave,intersection,"East 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",,,,
E 12th St between 30th Ave & Derby Ave,intersection,"E 12th Street between 30th Avenue & Derby Avenue, Oakland, CA",,,,
E. 12th St between 45th Ave and 46th Ave,intersection,"East 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",,,,
W MacArthur Blvd between Latimer Pl and Ruby St,intersection,"West MacArthur Boulevard between Latimer Place and Ruby Street, Oakland, CA",,,,
Bernhardt Dr between Ghormley Ave and Hunter Ave,intersection,"Bernhardt Drive between Ghormley Avenue and Hunter Avenue, Oakland, CA",,,,
High St between E 12th St & E 12th St Pl,intersection,"High Street between E 12th Street & E 12th Street Place, Oakland, CA",,,,
46th Ave and E. 12th (cul-de-sac),intersection,"46th Avenue and East 12th, Oakland, CA",,,,
46th Ave between International and E12 Street,intersection,"46th Avenue between International Boulevard and E12 Street, Oakland, CA",,,,
44th Ave between E 12th St & San Leandro ST,intersection,"44th Avenue between E 12th Street & San Leandro ST, Oakland, CA",,,,
44th Ave between E 12th St & International Blvd,intersection,"44th Avenue between E 12th Street & International Boulevard, Oakland, CA",,,,
42nd Ave between International and E 12th St,intersection,"42nd Avenue between International Boulevard and E 12th Street, Oakland, CA",,,,
W MacArthur Blvd between Ruby St and Webster St,intersection,"West MacArthur Boulevard between Ruby Street and Webster Street, Oakland, CA",,,,
41st Ave and San Leandro St,intersection,"41st Avenue and San Leandro Street, Oakland, CA",,,,
47th St between International Blvd and San Leandro St,intersection,"47th Street between International Boulevard and San Leandro Street, Oakland, CA",,,,
20th St between West St and Brush St,intersection,"20th Street between West Street and Brush Street, Oakland, CA",,,,
19th St between West St and Brush St,intersection,"19th Street between West Street and Brush Street, Oakland, CA",,,,
21st St between West St and Brush St,intersection,"21st Street between West Street and Brush Street, Oakland, CA",,,,
W MacArthur Blvd between Telegraph Ave and Latimer Pl,intersection,"West MacArthur Boulevard between Telegraph Avenue and Latimer Place, Oakland, CA",,,,
22nd St between West St and Brush St,intersection,"22nd Street between West Street and Brush Street, Oakland, CA",,,,
Webster St between W MacArthur Blvd and 38th St,intersection,"Webster Street between West MacArthur Boulevard and 38th Street, Oakland, CA",,,,
Brush St between 19th St and 20th St,intersection,"Brush Street between 19th Street and 20th Street, Oakland, CA",,,,
41st Ave between International blvd and San Leandro St,intersection,"41st Avenue between International Boulevard blvd and San Leandro Street, Oakland, CA",,,,
W MacArthur Blvd between Webster St and Shafter St,intersection,"West MacArthur Boulevard between Webster Street and Shafter Street, Oakland, CA",,,,
High St between E 12th St Pl & International Blvd,intersection,"High Street between E 12th Street Place & International Boulevard, Oakland, CA",,,,
E. 12th St between 41st Ave and 42nd Ave,intersection,"East 12th Street between 41st Avenue and 42nd Avenue, Oakland, CA",,,,
E. 12th St between 42nd Ave and High St,intersection,"East 12th Street between 42nd Avenue and High Street, Oakland, CA",,,,
W MacArthur Blvd between Shafter St & Manila Ave,intersection,"West MacArthur Boulevard between Shafter Street & Manila Avenue, Oakland, CA",,,,
E. 12th St between 44th Ave and 45th Ave,intersection,"East 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",,,,
W MacArthur Blvd between Manila Ave & Broadway,intersection,"West MacArthur Boulevard between Manila Avenue & Broadway, Oakland, CA",,,,
E. 12th St between 40th Ave and 41st Ave,intersection,"East 12th Street between 40th Avenue and 41st Avenue, Oakland, CA",,,,
45th between E 12th St and San Leandro,intersection,"45th between E 12th Street and San Leandro, Oakland, CA",,,,
E. 12th St between High St and 44th Ave,intersection,"East 12th Street between High Street and 44th Avenue, Oakland, CA",,,,
Bernhardt Dr between Foster Ave and Ghormley Ave,intersection,"Bernhardt Drive between Foster Avenue and Ghormley Avenue, Oakland, CA",,,,
45th Ave between International and E12 Street,intersection,"45th Avenue between International Boulevard and E12 Street, Oakland, CA",,,,
47th Ave between E.12th and San Leandro St,intersection,"47th Avenue between E.12th and San Leandro Street, Oakland, CA",,,,
47th Avenue between East 12th & International Blvd,intersection,"47th Avenue between East 12th & International Boulevard, Oakland, CA",,,,
City Lot - 73rd Ave. and San Leandro city property under the Bart tram to the airport,named_place,"City Lot - 73rd Avenue. and San Leandro city property under the Bart tram to the airport, Oakland, CA",,,,
City Lot - Foothill Blvd between 67th Avenue and 68th Avenue,named_place,"City Lot - Foothill Boulevard between 67th Avenue and 68th Avenue, Oakland, CA",,,,
Lighthouse Community Charter Public School at 444 Hegenberger Rd.,named_place,"Lighthouse Community Charter Public School at 444 Hegenberger Road, Oakland, CA",,,,
"Lakeside Park: Lakeside Park Garden Center, 666 Bellevue Ave",named_place,"Lakeside Park: Lakeside Park Garden Center, 666 Bellevue Avenue, Oakland, CA",,,,
San Antonio Park,named_place,"San Antonio Park, Oakland, CA",,,,
34th Street & San Pablo,named_place,"34th Street & San Pablo, Oakland, CA",,,,
10th & Pine Street / 1022 Pine Street,named_place,"10th & Pine Street, Oakland, CA",,,,
56th & Telegraph,named_place,"56th & Telegraph, Oakland, CA",,,,
Walkway behind Piedmont Place Hotel,named_place,"Walkway behind Piedmont Place Hotel, Oakland, CA",,,,
21st & Filbert,named_place,"21st & Filbert, Oakland, CA",,,,
E 10th St Bridge underpass near Channel Park,named_place,"E 10th Street Bridge underpass near Channel Park, Oakland, CA",,,,
Douglas Ave cul de sac,named_place,"Douglas Avenue cul de sac, Oakland, CA",,,,
Rockridge Temescal/North Frog Park,named_place,"Rockridge Temescal, Oakland, CA",,,,
Grove Shafter Park (s near park and encampment next to freeway),named_place,"Grove Shafter Park (s near park and encampment next to freeway), Oakland, CA",,,,
14th St between Center St and Mandela Pkwy,named_place,"14th Street between Center Street and Mandela Parkway, Oakland, CA",,,,
4th & MLK,named_place,"4th & Martin Luther King Jr Boulevard, Oakland, CA",,,,
Median at 6th & Jackson,named_place,"Median at 6th & Jackson, Oakland, CA",,,,
Little Frog Park,named_place,"Little Frog Park, Oakland, CA",,,,
High St  Safe Parking along Alameda Ave,named_place,"High Street Safe Parking along Alameda Avenue, Oakland, CA",,,,
City Lot - 11th St between Clay & Broadway,named_place,"City Lot - 11th Street between Clay & Broadway, Oakland, CA",,,,
Median at 96th & International,named_place,"Median at 96th & International Boulevard, Oakland, CA",,,,
Pine Knoll Park,named_place,"Pine Knoll Park, Oakland, CA",,,,
City Lot at 1707 Wood St,named_place,"City Lot at 1707 Wood Street, Oakland, CA",,,,
Athol Plaza Park,named_place,"Athol Plaza Park, Oakland, CA",,,,
34th & Elm,named_place,"34th & Elm, Oakland, CA",,,,
2nd & Jefferson (cul de sac),named_place,"2nd & Jefferson (cul de sac), Oakland, CA",,,,
Frog Park the pathway between Clifton and Cavour,named_place,"Frog Park the pathway between Clifton and Cavour, Oakland, CA",,,,
Median at 2300 Brush St,named_place,"Median at 2300 Brush Street, Oakland, CA",,,,
42nd & Dover,named_place,"42nd & Dover, Oakland, CA",,,,
Median at 73rd Ave & Hawley St,named_place,"Median at 73rd Avenue & Hawley Street, Oakland, CA",,,,
